idx,les,dk,en
06_Definites,0,mælken,the milk (en- word)
06_Definites,1,sandwichen,the sandwich (en- word)
06_Definites,10,saften,the juice (en- word)
06_Definites,11,morgenmaden,the breakfast (en- word)
06_Definites,12,frokosten,the lunch (en- word)
06_Definites,13,osten,the cheese (en- word)
06_Definites,14,pastaen,the pasta (en- word)
06_Definites,15,vinen,the wine (en- word)
06_Definites,16,fisken,the fish (en- word)
06_Definites,17,sukkeret,the sugar (et- word)
06_Definites,18,aviserne,the newspapers
06_Definites,19,dyrene,the animals
06_Definites,2,appelsinen,the apple (en- word)
06_Definites,20,bøgerne,the books
06_Definites,21,kattene,the cats
06_Definites,22,frugterne,the fruits
06_Definites,23,æblerne,the apples
06_Definites,24,hestene,the horses
06_Definites,25,hundene,the dogs
06_Definites,26,bjørnene,the bears
06_Definites,27,maden,the food (en- word)
06_Definites,28,øllen,the beer (en- word)
06_Definites,29,jordbæret,the strawberry (et- word)
06_Definites,3,tallerkenen,the plate (en- word)
06_Definites,30,risene,the rice
06_Definites,31,tomaten,the tomato (en- word)
06_Definites,32,skildpadderne,the turtles
06_Definites,33,bøffen,the steak (en- word)
06_Definites,34,suppen,the soup (en- word)
06_Definites,35,saltet,the salt (et- word)
06_Definites,36,vegetarene,the vegetarians
06_Definites,37,svinekødet,the pork (et- word)
06_Definites,38,olien,the oil (en- word)
06_Definites,39,citronen,the lemon (en- word)
06_Definites,4,kaffen,the coffee (en- word)
06_Definites,40,måltidet,the meal (et- word)
06_Definites,41,teen,the tea (en- word)
06_Definites,42,kødet,the meat (et- word)
06_Definites,43,børnene,the children
06_Definites,44,appelsinerne,the oranges
06_Definites,45,aftensmaden,the dinner (en- word)
06_Definites,46,fluglene,the birds
06_Definites,47,dyret,the animal (et- word)
06_Definites,48,kagen,the cake (en- word)
06_Definites,49,vegetaren,the vegetarian (en- word)
06_Definites,5,bogen,the book (en- word)
06_Definites,50,elefanterne,the elephants
06_Definites,51,tellerknerne,the plates
06_Definites,52,sandwichene,the sandwiches
06_Definites,53,anden,the duck (en- word)
06_Definites,54,skildpadden,the turtle (en- word)
06_Definites,55,elefanten,the elephant (en- word)
06_Definites,56,hesten,the horse (en- word)
06_Definites,57,krabben,the crab (en- word)
06_Definites,58,kartoflen,the potato (en- word)
06_Definites,59,musen,the mouse (en- word)
06_Definites,6,kyllingen,the chicken (en- word)
06_Definites,60,øllene,the beers (en- word)
06_Definites,61,edderkoppen,the spider (en- word)
06_Definites,62,bjørnen,the bear (en- word)
06_Definites,7,barnet,the child (et- word)
06_Definites,8,ægget,the egg (et- word)
06_Definites,9,frugten,the fruit (en- word)
07_Plurals,1,heste, = horses
07_Plurals,10,appelsiner, = oranges
07_Plurals,11,frugter, = fruit/fruits
07_Plurals,12,tallerkner, = plates
07_Plurals,13,bjørne, = bears
07_Plurals,14,elefanter, = elephants
07_Plurals,15,skildpadder, = turtles
07_Plurals,16,vegetarer, = vegetarians
07_Plurals,17,sandwiches, = sandwiches
07_Plurals,18,kartofler, = potatoes
07_Plurals,2,hunde, = dogs
07_Plurals,3,katte, = cats
07_Plurals,4,ænder, = ducks
07_Plurals,5,bøger, = books
07_Plurals,6,aviser, = newspapers
07_Plurals,7,børn, = children
07_Plurals,8,fugle, = birds
07_Plurals,9,æbler, = apples
08_Genitive_Case,1,mig, = me
08_Genitive_Case,10,bjørnens, = the bear's
08_Genitive_Case,11,en piges, = a girl's
08_Genitive_Case,12,pigens, = the girl's
08_Genitive_Case,13,en drengs, = a boy's
08_Genitive_Case,14,drengens, = the boy's
08_Genitive_Case,15,andens, = the duck's
08_Genitive_Case,16,kvinders, = women's
08_Genitive_Case,17,kvindernes, = the women's
08_Genitive_Case,18,mænds, = men's
08_Genitive_Case,19,mændenes, = the men's
08_Genitive_Case,2,dig, = you
08_Genitive_Case,20,fiskens, = the fish's
08_Genitive_Case,3,ham, = him
08_Genitive_Case,4,hende, = her
08_Genitive_Case,5,dem, = them
08_Genitive_Case,6,en kvindes, = a woman's
08_Genitive_Case,7,kvindens, = the woman's
08_Genitive_Case,8,en mands, = a man's
08_Genitive_Case,9,mandens, = the man's
09_Possessive_Pronouns,1,min, = my/mine (for en- words)
09_Possessive_Pronouns,10,dets, = its
09_Possessive_Pronouns,11,vores, = our/ours
09_Possessive_Pronouns,12,jeres, = your/yours (plural)
09_Possessive_Pronouns,13,deres, = theirs
09_Possessive_Pronouns,14,sin, = his/her/its
09_Possessive_Pronouns,15,sine, = his/her/its
09_Possessive_Pronouns,16,sit, = his/her/its
09_Possessive_Pronouns,2,mine, = my/mine (plural)
09_Possessive_Pronouns,3,mit, = my/mine (for et- words)
09_Possessive_Pronouns,4,din, = your/yours (for en- words)
09_Possessive_Pronouns,5,dine, = your/yours (plural)
09_Possessive_Pronouns,6,dit, = your/yours (et- words)
09_Possessive_Pronouns,7,hans, = his
09_Possessive_Pronouns,8,hendes, = her
09_Possessive_Pronouns,9,dens, = its
10_Objective_Pronouns,1,mig, = me
10_Objective_Pronouns,10,jer, = you (plural)
10_Objective_Pronouns,2,dig, = you
10_Objective_Pronouns,3,ham, = him
10_Objective_Pronouns,4,hende, = her
