frakke,coat
nederdel,skirt
nederdelen,the skirt
nederdele,skirts
kjole,dress
kjoler,dresses
går,walk/walks/ am/is/are walking
har,have/has
løber,run/runs/ am/is/are running
på,on
gerne have,like/want/wants to have
betaler,pay/pays
kan godt lide,like/likes
leger,play/plays (playing e.g. children playing together)
spiller,play/plays (a game with rules e.g football/cars)
tager,take/takes
tager afsted,leave/leaves/ am/is/are leaving
bruger,use/uses
elsker,love/loves
regner,rain/rains/ raining
har på,wear/wears / am/is/are wearing
ser,see/sees/ am/is/are seeing
fortæller,tell/tells/ telling
om,about
arbejder,work/words/ working
finder,find/finds
hører,hear/hears
lytter,listen/listens/ listening
ved,know/knows (a fact)
til,to
behøver,need/needs
får,get/gets
skriver,write/writes/ am/is/are writing
kender,know/knows (someone/someplace)
designer,design/designs
viser,show/shows
støtter,support/supports
sover,sleep/sleeps/ am/is/are sleeping
svømmer,swim/swims/ am/is/are swimming
rører,touch/touches/ am/is/are touching
koger,boil/boils
laver,make/makes
synger,sing/sings
blå,blue
grønt,green
gult,yellow
gule,yellow (definite noun/ or plural)
hvid,white
hvide,white (plural)
rød,red
røde,red (plural)
sort,black
farver,colors
farverigt,colorful
farverige,colorful (plural)
brun,brown
brune,brown (definite noun/ or plural)
brunt,brown (neuter et- word)
grå,gray
lilla,purple
orange,orange
lys,light
lyse,bright
mørk,dark
Lesson 1
lyseblåt,light blue
mørkeblå,dark blue
lysegrønt,light green
lysegrønne,light green
mørkegrøn,dark green
mørkegrønne,dark green
lyserød,pink
lyserøde,pink
mørkerød,dark red
mørkerøde,dark red
at,that
fordi,because
eller,or
om,if
hvis,if
men,but
når,when
mens,while/when
fra,from
i,in
efter,after
under,under
omkring,around
som,like/what
tilbage,back
nær ved,close/near to
før,until
for,for
mellem,between
på,on
ved,next to
rører ved,touch/touches
med,with
uden,without
til,to
om,about
af,off
bag,behind
hvad,what
hvor,where
et,a
svar,an answer
svaret,the answer
svarene,the answers
hvordan,how
hvem,who
hvis,whose
hvorfor,why
hvilke,which
hvornår,when
et spørgsmål,a question
spørgsmålene,the questions
morgen,morning
nat,night
mandag,Monday
tirsdag,Tuesday
tirsdage,Tuesdays
onsdag,Wednesday
torsdag,Thursday
torsdage,Thursdays
fredag,Friday
fredagen,the Friday
hverdag,weekday
formiddagen,the morning
hverdage,weekdays
hverdagene,the weekdays
kalender,calendar
lørdag,Saturday
søndag,Sunday
om søndagen,on Sundays
weekend,weekend
weekenden,the weekend
alder,age
alderen,the age
formiddagene,the mornings
aldrene,the ages
en time,an hour
en uge,a week
ugen,the week
en måned,a month
et år,a year
året,the year
dato,date
datoen,the date
januar,January
eftermiddag,afternoon
februar,February
marts,March
april,April
maj,May
juni,June
en sæson,a season
sæsonen,the season
sæsonerne,the seasons
juli,July
august,August
eftermiddagen,the afternoon
september,September
oktober,October
november,November
december,December
et minut,a minute
et århundred,a century
en periode,a period
perioden,the period
perioderne,the periods
vinter,Winter
i dag,today
vinteren,the Winter
forår,Spring
foråret,the Spring
sommer,Summer
sommeren,the Summer
efteråret,the Fall/Autumn
fødsel,birth
fødslen,the birth
fødslerne,the births
generation,generation
i aften,tonight
generationen,the generation
et marked,a market
markedet,the market/fair
fest,party
festen,the party
en scene,a stage/scene
scenen,the stage
et øjeblik,a moment
øjeblikket,the moment
i øjeblikket,currently
i morgen,tomorrow
midnat,midnight
et sekund,a second
sekunder,seconds
et årti,a decade
årtier,decades
en smule,a bit
middag,noon
indtil,until
tid,time
forældre,parents
forældrene,the parents
sønnerne,the sons
datteren,the daughter
døtre,daughters
døtrene,the daughters
familie,family
familien,the family
mand,husband
kone,wife
koner,wives
onkel,uncle
far,father
onkler,uncles
tante,aunt
tanter,aunts
søskende,siblings
et ægteskab,a marriage
ægteskaberne,the marriages
bedstefar,grandfather
bedstefædre,grandfathers
bedstefaren,the grandfather
bedstemor,grandmother
faren,the father
bedstemødre,grandmothers
gæst,guest
gæsten,the guest
bamse,teddy bear
bamsen,the teddy bear
legetøj,toy
en leg,a game
et navn,a name
mor,mother
moren,the mother
bror,brother
søster,sister
søn,son
sønner,sons
der,there
for,too
henne,at
her,here
også,too/also
ret,pretty/ very
bare,just
endda,even
engang,even/once
ikke engang,not even
godt,well
imidlertid,however
hen til,to
kun,only
selv,even
stadig,still
allerede,already
endnu,yet/even
endnu ikke,not yet
igen,again
lidt,a bit
for lidt,too little?
nogensinde,ever
meget,very
mindst,least
i det mindste,at least
væk,away
virkelig,really
ellers,else
i øjeblikket,currently/at the moment
langt,far
længe,long (time)/ long a time
sædvanligvis,usually
mere,more
senere,later
snart,soon
tilstrækkeligt,enough
endelig,finally
for,too
generelt,generally
især,especially
mens,while
næsten,almost
nemt,easily
nu,now
om,during/in
sent,late
sommetider,sometimes
tidligt,early/soon
fuldstændigt,completely
inde,inside
muligvis,possibly
omtrent,approximately
præcis,exactly
præcist,exactly
så,so
tydeligt,clearly
ude,out/outside
lige meget,it does not matter
lige så meget som,as much as
bestemt,definitely
nødvendigvis,necessarily
hverken,neither
normalt,normally
perfekt,perfect/perfectly
personligt,personal
aldrig,never
langsomt,slowly
sammen,together
altid,always
derefter,then
studerende,student
doktor,doctor
arbejde,work/job
arbejdet,the work/job
en advokat,a lawyer
advokaten,the lawyer
advokaterne,the lawyers
direktør,manager/director
direktøren,the manager/director
kunstner,artist
kunstneren,the artist
ninjaer,ninjas
doktorer,doctors
ninjaen,the ninja
ninjaerne,the ninjas
politi,police
en sekretær,a secretary
sekretæren,the secretary
arbejder,worker
arbejderne,the workers
karriere,career
betjent,police officer
en betjent,a police officer
